,reviews
0,"We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast. Spa at hotel nearby which we used while we were there."
1,Great outage base for city break. Quiet neighborhood
2,"Quiet, friendly staff, no issues"
3,"Excellent service, beautiful Christmas decor, wonderful time at the Trellis Spa"
4,Met up with our daughter and had a great time in Houston. The hotel was easy to find and was quite lovely--especially the spa!! Would highly recommend taking time to use the Trellis Spa while in Houston.
5,Everyone at the hotel made our stay so amazing. We were there in time to see the harvest decorations being put away and the magnificent Christmas decor being put up. They all did an amazing job. It is definitely more for couples and grown ups. It would feel too stuffy for children
6,We have been staying at the Houstonian hotel for 20 years now and it's never let us down!!! When the staff calls us by our names year after year.... What does that tell u about the hotel management
7,Hotel was awesome. Service was beyond anything I've gotten before. Room service and food was EXCELLENT.
8,Great place to enjoy relaxing family time. 3 pools! Several restaurants and very friendly staff.
9,"Hotel and hotel staff are amazing, 5 stars. Family pool was awful, our neighborhood pool is 100x's cleaner, better service personnel and life guards that enjoy their job. Great get away for couples or business, leave family at home."
10,"25th anniv mini getaway. Secluded yet in the Uptown area, great, restrained service."
11,Loved the Houstonian!
12,"Walls extremely thin, you can hear everything. Excessive hoovering every morning outside bedroom. There. Is a bar, but no one to tend it."
13,We loved it!
14,"We live on the other side of Houston and felt that our stay at the Houstonian was a wonderful getaway. It really felt like we were on holiday. We loved the comfort, the view of the woods and the tranquility of the place."
15,"Very comfortble, traditional, and family oriented"
16,"Great stay as always. Superior accommodations, food, fitness classes(31/day)with excellent instructors, grounds, swimming pools. The best in Houston by far."
17,The most relaxing beautiful hotel in Houston. Service is exceptional and staff is excellent. Spa is the best inTexas....
18,"The hotel was nice but is very outdated. The bathroom for a family for very, very small. We had a deluxe king room which is good for 4 people but the bathroom was the size fit for a standard room for 2 people."
19,Return guest. Accommodation was great as usual.
20,Wonderful stay! Great couples retreat. Make sure you stay a couple of days to take advantage of all of the amenities including the Trellis Spa. Will definitely be back for our anniversary. Staff is superb and don't forget to eat at the restaurant downstairs Olivette.
21,"The Houstonian may not be the cheapest hotel in the area, but I believe it's the best. It's still a great value when you look at the service, amenities, and location. The grounds make it a wonderful oasis in a busy part of the city. Everything is kept up immaculately and is first class. The rooms have everything you could need for a comfortable stay. I loved walking the beautiful and easy to walk path around the grounds each morning and seeing/hearing all the birds. I didn't use the pool areas, but they are gorgeous and spacious. Highly recommended hotel."
22,"We always have a pleasant stay at the Houstonian, love the atmosphere, the rooms are also dark in the morning due to the lush greenery so we are able to get a good nights rest. We were celebrating our triplet grandchildren's 6th Birthday (their favorite hotel) and they were surprised by the hotel with a plate of fresh cookies and milk! Thank you Houstonian!"
23,"If you're looking for a hotel where the action is, go elsewhere. The hotel is on the Lido, which is about a 10-15 minute waterbus ride away from Venice. However, if you're looking for a place on the Lido, this is a well-priced option. The staff was great with handling/recommending dinner reservations, even during an insane Carnevale weekend. The doors are a little thin and since the building is old, the soundproofing needs improvement. The quarters are cramped, but the room comes with breakfast. If we wanted to stay on the Lido again, this would be a good option, but next time I think we'll opt for a place closer to the action. Recommended."
24,"I checked in for 10 days, but checked out after 2. My problem with the hotel was room size - particularly bathroom size. The bedroom was adequate. The bathroom ceiling is at about 6.5 feet. The door opens into the tiny bathroom which makes it necessary to close the door making it extremely claustrophobic."
25,The king size bed was the most uncomfortable bed I had slept in for decades. I honestly thought I was sleeping on a sheet of plywood.
26,"This hotel is way over rated, it's nothing like the description or the reviews. Basically its Old (very old) building in the heart of apartment complex/parking lot jungle. Furniture is very old, hotel theme feel like 1850s, clean but old. Tge staff is friendly but you can tell they inexperienced , mostly in there 20s. Room it self spacious but old, old carpet and TV. Bathrooms similar to Motels, bedsheets clean, new sheets, but bed is saggy. Surrounding area is jungle, literally!! Misty and not well kept. Lots traffic once you leave parking. Ppl come from surrounding complex apartments to run on trail. Bottom line, money wasted, will never come again."
27,Staff were awesome. By 2 nd day knew our name and were so nice. Will definitely go there again.
28,"Nice hotel, secluded so that you don't feel like you're in the city but convenient for business great exercise facilities for working out. swimming and tennis."
29,"Great resort facilities, several pools, including a lap pool and an enormous gym. Room was very comfortable. We went for the concierge package, which included complementary drinks, snacks and continental breakfast. Lovely."
30,Fantastic hotel.
31,"We stop at the Houstonian every year on our way to ski and my 2 teenage boys just love it. We love the location, the food and the workout facilities. My kids especially love the basketball court!"
32,Hotel is very nice. High end finishes. Friendly staff. Bed was comfortable. There was some noise both from other guests and maintenance of grounds. Amenities are exceptional. Food in restaurants was also very good.
33,"Rooms and bathrooms are a little bit outdated, pool and spa is great!"
34,"Hotel facilities are good and breakfast ample. Econmy rooms have sloping roof so tall guests mind your head We stayed in one and it was fine, the occational bump but for the price you cant really complain."
35,"So relaxing and nice atmosphere. I took my pregnant girlfriend here as a last minute getaway in our hometown before her 3rd child arrived... we relaxed, rested, and enjoy the quite. The spa serices near by were on point..."
36,Room and bathroom were extremely small considering the amount we paid per night to stay.
37,"We have stayed at the Houstonian before and it's always top notch. Their holiday decor is amazing, and the staff is always so helpful."
38,We were in Houston for a family event so several families were staying at the Houstonian. We took advantage of the bar for nightcaps and the large fireplace and comfy sitting area off the lobby for complimentary coffee and conversation.
39,Great hotel! The pools were amazing. We will be staying here anytime we go to Houston
40,Wonderful stay with my boyfriend
41,"Been staying there for 25 years. Great food, great gym, grounds amazing, staff super. Enough said!"
42,5 star accommodations as well as service. Even during the floods- they had staff to help us. We LOVED our time there
43,Combination business and family. Really liked the exercise facility and service all around.
44,Good hotel.
45,Friendly reception very helpful. Hotel has pleasant views and is about ten minute walk to main water bus terminal to take you any direction. We used the spa one day. Good saunas but relaxation area noisy and small. Some lovely restaurants close by and cheaper than in Venice.
46,"My husband and I took a stacation here and it indeed is a five star from the amazing service to all the updated amenities, pools, gym everything was almost perfect. We chose this hotel after I verified that their shuttle went within 3 miles also viewing this on their website. Well time to take off and there was ' no shuttle ' available on Sunday after 6pm which I could not verify. That put a twist on things, we drove around the corner anyhow."
47,"We stayed a couple of nights for our daughter's bday and Father's day weekend for me as well. Everything was topnotch! From the courteous staff and great service down to every little detail. Our rooms were clean and well kept as well as all the public spaces. Our room had a nice view that seemed like we were in the woods. Indoor basketball and tennis court as well outdoor tennis courts just to name a few. Even has a lap pool (not sure if it was olympic size though). All gears and equipment are provided free of charge so no need to bring racquets, balls and even shoes. Just make sure to wear or bring socks but worry not as they sell socks if you happen to forget. We all enjoyed our stay. From my wife getting pampered inside their spa for most of the time to me and our teenage kids working a lot of sweat playing all sorts of sports. The only thing that was somewhat awkward for us was that their recreational pool was filled wth mostly small kids and toddlers with their Soccer Moms or the Rich Wives of Beverly hills type of women. Not really encouraging for a full grown man who likes to drink his cold beer by the pool or teenage kids/young adults doing their horsing around or whatever. Their lap pool is always occupied and Waiting a while for a lane to be vacant somewhat takes the fun out of it. Over all, It's a magnificent place to stay with so many things to enjoy while you're at it. And as my title says, It's a Country Club with a little touch of Hotel!"
48,"We stayed at The Houstonian to celebrate our 17th Wedding Anniversary and are so glad we chose this hotel. There were a few hiccups in our stay, but we had such a nice time that the things that did go wrong are forgiven. The staff did try their best to makeup for the mishaps, which shows that they do care about their guests. I will say the bathrooms are very small (when you open the door there is only about 5 inches from the door to the toilet). The vanity and mirror is spacious, but definitely not for 2 people at once. The Trellis Spa and service from its staff is impeccable, and the gym and outdoor amenities makeup for the age of the hotel. It is hidden away from the busy roads and noise of the surrounding area, so you really feel like you are able to relax as if you were somewhere far away. The views out the windows all around the hotel are views of beautiful tress, as if you were in a secluded rainforest. As other reviewers mentioned, the valet service was really top notch and on their game. We will definitely be returning for a staycation at The Houstonian again. Thank you for making it a memorable Anniversary!"
49,We came in for wedding. The staff was exceptional. Loved the workout facility. Will definitely stay again next time we are in Houston.
50,"The Hotel and its grounds are beautiful, to say the least. Very warm, very welcoming, very grand. The staff were incredibly professional and welcoming as well. Everyone from the front desk to the spa to the bar - same level of amazing service. Speaking of the spa - I have never had a spa experience like this. Unbelievable! The ultimate in luxury in relaxation. Due to the flooding in the area we left a night early, just to be on the safe side. They did not charge us the extra night. I am seriously looking for excuses to stay at this hotel again."
51,"What a fabulous hotel and resort property . Incredible amenities made our family time relaxing and enjoyable, providing us with the perfect getaway escape and memories !!"
52,"This is a beautiful hotel with great views and excellent amenities. The Spa staff are extremely friendly and helpful. The hotel front desk staff are not as friendly, yet they are professional. I would definitely recommend this hotel for a luxurious weekend getaway."
53,"The valets here are awesome. They greet you with a smile and a sense of urgency to help. They provide cold bottles of water each time you leave. While it may look like this hotel is off the beaten path, I assure you that it is easy to get to and really gets you out of the fray of the Galleria traffic without leaving the neighborhood."
54,We had a great time there- beautiful place with wonderful staff. Would love to go again
55,"The hotel room was a lotttt smaller than I thought it would be. We ordered room service and there was a hair in the crab cake! Then it took an hour for us to get any kind of manager or staff member to actually help us. Once we finally talked to someone that could help, Kevin, he was extremely short and unpleasant. When we came down for dinner at the restaurant he didn't address us but talked to every other table around us. Hotel was nice, amenities even nicer but I was disappointed at the services especially given how expensive everything is!"
56,It was a bit far from city center
57,Excellent hotel - service was beyond anything we have experienced. I would recommend this hotel to everyone looking for a place to stay in Houston. Location is tremendous and the surrounding area is beautiful!
58,"Beautiful hotel, but very intimidating!! Hard to figure out where the pools were."
59,"My wife and I stayed at the Houstonian for 3 nights in October. The property was lovely and the room was very comfortable. However the fitness facilities are truly amazing. The property is connected to the Houstonian Club which is a separate sports club that has truly world class facilities. It has 3 pools (a massive lap pool, resort pool and other small quiet pool), the largest gym I have seen anywhere, basketball and tennis courts, a jogging track and at least 5 studios for classes. My wife has been a regular (5 times a week) gym user for over 16 years and she has been a member of many gyms in NYC and London and this is by far the best she has experienced. She went to 3 classes and the studios, instructors and equipment could not have been better. Further there is no need to register for any class you just turn up and participate. In the luxurious locker rooms there is free coffee, tea, ice tea, water etc... We also ate at the bar and Olivette restaurant and the food and service were excellent. My wife also visited the spa and although it was expensive the facilities and service were again of the highest quality."
60,"We can to town for a college football game and we a little nervous about the room size some complained about, but found it acceptable. The property is beautiful and the staff was a friendly and helpful as it gets. We will stay here again when we retuen to Houston."
61,"It was like a resort in the middle of Houston. The spa, fitness center and pools were a nice touch that enabled us to stay here and be entertained at the same time. Very nice!"
62,Family weekend Food was great Grandchildren used pool Family used health Club
63,Hotel and facilities are beautiful but room was very musty/ mildewy smelling.
64,"Beautiful hotel at a great value! Amazed at what we paid for a room on the concierge floor that included free daily continental breakfast, early evening cocktails and hors d'oeuvres, and after dinner dessert buffet. The Olivette restaurant was spectacular - had dinner there both nights. Will definitely be my go-to hotel any time I'm in Houston!"
65,"My family and I like to vist spokane we went on priceline and found that this was the cheapest and it had a indoor pool and and gym We were very pleased the room is clean, smells clean with friendly people and pet friendly. If ur looking for a good night with comfy beds at a good price stay here!"
66,"Budget hotel offers standard amenities and low rates to road-weary travelers. In ShortSince 1946, this Phoenix, Ariz.-based hotel chain has provided guests with comfortable accommodations. Its BestRequests program offers 16 of the most frequently requested services and amenities, including complimentary in-room tea/coffeemakers, hair dryers, iron and ironing boards, free local calls less than 30 minutes and long-distance access. Complimentary toiletries, like toothpaste, razors and sewing kits, are also available upon request. Business travelers will enjoy the computer data ports in each room and photocopying services."
67,"Great hotel, staff where amazing and the location and views make this a great Base to visit Venice!"
68,"I asked for a nonsmoking room and was pleased with the fact that it didn't seem like other people were smoking, so that's good. You get a 7 breakfast credit for the restaurant which was cool, although I think I prefer traditional continental breakfasts that are buffet style. The wifi was fast, so that was good. I didn't use the pool/hot tub/gym BUT it looked clean and ready to use. The staff was very friendly and helpful."
69,"I always stay at this hotel when visiting my mother who lives in Madison, Me. Always very pleasant and cordial staff."
70,Adequate but nothing to recommend it.
